country,year,sector,total_emissions
US,2019,International Aviation,81.642573
US,2019,Power,1605.90748
US,2019,Residential,605.181931
US,2020,Domestic Aviation,120.984351
US,2020,Ground Transport,1486.67138
US,2020,Industry,953.19769
US,2020,International Aviation,44.2133491
US,2020,Power,1436.34825
US,2020,Residential,556.161502
US,2021,Domestic Aviation,158.896452
US,2021,Ground Transport,1592.58902
US,2021,Industry,976.61484
US,2021,International Aviation,53.9284084
US,2021,Power,1535.52532
US,2021,Residential,564.169718
US,2022,Domestic Aviation,155.043937
US,2022,Ground Transport,1555.16241
US,2022,Industry,1025.14618
US,2022,International Aviation,65.957132
US,2022,Power,1642.69434
US,2022,Residential,604.446453
US,2023,Domestic Aviation,64.490631
US,2023,Ground Transport,642.82423
US,2023,Industry,425.84697
US,2023,International Aviation,28.500289
US,2023,Power,571.60212
US,2023,Residential,259.359729
WORLD,2019,Domestic Aviation,363.702319
WORLD,2019,Ground Transport,6508.0784
WORLD,2019,Industry,10746.3213
WORLD,2019,International Aviation,632.65734
WORLD,2019,Power,13525.4216
WORLD,2019,Residential,3568.18312
WORLD,2020,Domestic Aviation,251.684329
WORLD,2020,Ground Transport,5798.95333
WORLD,2020,Industry,10475.2693
WORLD,2020,International Aviation,278.123846
WORLD,2020,Power,13138.537
WORLD,2020,Residential,3511.25726
WORLD,2021,Domestic Aviation,315.989232
WORLD,2021,Ground Transport,6306.9338
WORLD,2021,Industry,10986.457
WORLD,2021,International Aviation,327.422574
WORLD,2021,Power,14046.5038
WORLD,2021,Residential,3524.67559
WORLD,2022,Domestic Aviation,313.062037
WORLD,2022,Ground Transport,6466.5151
WORLD,2022,Industry,11116.855
WORLD,2022,International Aviation,472.739218
WORLD,2022,Power,14192.2274
WORLD,2022,Residential,3558.06327
WORLD,2023,Domestic Aviation,142.162249
WORLD,2023,Ground Transport,2747.0238
WORLD,2023,Industry,4556.0642
WORLD,2023,International Aviation,217.4954
WORLD,2023,Power,5709.5459
WORLD,2023,Residential,1741.69741
